merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60001515,贵州糯米饭,小吃快餐, 玄武门街道龙蟠路1号(近中央门立交桥),,,,0,,118.7795709,32.09272466,18825863003,11:00-22:00,1
60001516,旭晨饼店,小吃快餐,和燕路63号线路新村社区,,,,0,,118.7907636,32.09730376,17355260293,07:30-19:30,1
60001517,Leekaka,小吃快餐,玄武湖景区,,,,0,,118.7921981,32.06476696,,06:30-20:00,1
60001518,张母娘南京小吃研究所,小吃快餐,玄武区金陵style浪漫中心南京大牌档斜对面,,,,0,,118.8077602,32.06799968,15365122963,11:00-22:00,1
60001519,oneforfour,小吃快餐,梅园新村街道太平花园,,,,0,,118.8060976,32.05962688,,10:30-21:30,1
60001520,W·BURGER,小吃快餐,玄武区龙蟠路88号南京国际展览中心C厅1楼,,,,0,,118.8040259,32.07742813,13616641094,11:00-21:00,1
60001521,老南昌拌粉,小吃快餐,锁金村街道六角广场,3.4,3.4,3.4,3.4,18,118.8051626,32.08282027,13770753953,10:30-22:00,1
60001522,十三幺鲜鸡煲,家常菜,百灵街29号门面1-1室,,,,0,,118.7820161,32.09546226,18262635422,10:00-21:30,1
60001523,鼓楼区鹏天商贸所,咖啡厅,玄武区龙蟠路111号,,,,0,,118.7916109,32.08765901,,10:30-22:00,1
60001524,比星咖啡,咖啡厅,玄武湖,,,,0,,118.7894235,32.07425688,,10:00-21:00,1
60001525,马上cofffee,咖啡厅,太平门路白马公园南门东北侧,3.5,3.5,3.5,3.5,,118.8095315,32.06066626,18951812593,10:30-20:00,1
60001526,五洲春·后湖早茶,本帮江浙菜,环湖路7号,4.3,4.3,4.3,4.3,26,118.7819094,32.07933971,,16:00-03:00,1
60001527,泓小满·Bistro·南京特色小馆,本帮江浙菜,"玄武区龙蟠路108号（玄武湖公园内,近岗子村地铁站3号口）",4.4,4.4,4.4,4.4,92,118.8079987,32.06794509,,11:00-21:00,1
60001528,携才养老,其他美食,南京商厦全季5楼,,,,0,,118.7792684,32.09361449,,10:30-22:00,1
60001529,湖景餐厅,其他美食,太平门街6号随心圆酒楼,,,,0,,118.8075876,32.06056274,,17:00-02:00,1
60001530,陈记煲仔饭拌饭,小吃快餐,锁金村街道六角广场,,,,0,,118.8051326,32.0827392,,10:00-23:00,1
60001531,老李盖浇饭,小吃快餐,玄武区梅园新村街道太平花园,,,,0,,118.8058331,32.05964541,,10:30-22:00,1
60001532,泗洪大饼,小吃快餐,线路新村社区南门东150米,,,,0,,118.7907846,32.09730479,,11:00-21:00,1
60001533,一家嘎嘎好吃的蛋炒饭,小吃快餐,鼓楼区小市街道小市街136号(小市地铁站1号口步行430米),,,,0,,118.7844587,32.09471429,17607599099,10:30-21:30,1
60001534,麦芝香,面包/饮品,鼓楼区小市街道和燕路12-1号(小市地铁站1号口步行360米),,,,0,,118.7845657,32.09682787,,10:00-22:00,1
60001535,徐记酸菜鱼,川菜,鼓楼区和燕路53-67号,3.7,3.9,3.9,3.6,,118.7867548,32.09995551,13182832978,10:30-21:30,1
60001536,麦当劳,小吃快餐,鼓楼区君兰路4号32号楼102室,3.8,3.7,3.7,3.7,26,118.7879249,32.09763668,4009200205,11:00-21:00,1
60001537,CHAGEE霸王茶姬,饮品店, 龙蟠路1号一层1112号商铺-1,4.2,4.2,4.1,4.1,23,118.7791123,32.09295116,18951858577,10:30-21:30,1
